"CWPName","SourceID","CWPStreet","CWPCity","CWPState","CWPStateDistrict","CWPZip"
"GREENBRIER SUBDIVISION ALL PHASES","TXR15335O","MAIN ENTRANCE AT CORNER OF THORNBERRY & 1179","BRYAN","TX","9","77808"
"GREENBRIER SUBDIVISION ALL PHASES","TXR1539ED","MAIN ENTRANCE AT CORNER OF THORNBERRY & 1179","BRYAN","TX",,"77808"
"HARDYS RESORT","TXR15069Z","3414 COLSON RD","BRYAN","TX",,"77808"
"HARVEY ROAD","TXR1521FO","1720 SUMMIT CROSSING LN","COLLEGE STATION","TX","9","77845-2206"
"HEART OF TEXAS GOODWILL","TXR1544BR","2710 BOONVILLE RD","BRYAN","TX",,"77808"
"HEAT TRANSFER RESEARCH","TX0106526","0.25MI SW INTX FM 2818 AND FM 2347","COLLEGE STATION","TX","09","77845"
"HEB TOWER POINT - REMODEL-EXPANSION","TXR1537PL","949 WILLIAM D FITCH PKWY","COLLEGE STATION","TX","9","77845-4638"
"HERITAGE MEADOWS","TXR1537BY","BEGIN AT THE INTERSECTION OF NUCHES LN AND COLSON","BRYAN","TX",,"77803"
"HERITAGE MEADOWS","TXR10F940","SW OF NUCHES LANE & AUTRY LANE","BRYAN","TX",,"77803"
"HERITAGE MEADOWS","TXR1566FR","BEGIN AT THE INTERSECTION OF NUCHES LN AND COLSON","BRYAN","TX",,"77803"
"HERITAGE MEADOWS","TXR10F93L","OF NUCHES LANE & AUTRY LANE","BRYAN","TX",,"77803"
"HIDDEN CREEK RV PARK","TXR1527HA","5780 E STATE HIGHWAY 21","BRYAN","TX",,"77808"
"HIDDEN OAKS 3","TXR1543CI","FM 1179 APPROX 4,000FT SOUTH OF THE INTERSECTION O","BRYAN","TX",,"77808"
"HIDDEN OAKS ESTATES","TXR15WF28","APPROXIMATELY 3/4 MILE SOUTHWEST OF GRASSBURR RD,","BRAYN","TX",,"77808"
"HIDDEN OAKS SUBDIVISION","TXR1556II","7423 MARYS WAY","BRYAN","TX",,"77808"
"HIGHLAND OAKS PHASE 1 & 2","TXR1572JS","HWY 21 TO SANDY POINT RD. INTERSECTION SANDY POINT","BRYAN","TX",,"77807"
"HIGHWAY 30 BUILDING 600 & 700","TXR1542QE","AT THE INTERSECTION OF HWY 30 & DEERFIELD DR., 30.","BRYAN","TX","9","77845"
"HOLLEMAN DRIVE SOUTH REHABILITATION","TXR15768J","HOLLEMAN DRIVE SOUTH BETWEEN DOWLING ROAD AND ROCK","COLLEGE STATION","TX",,"77845"
"HOLLEMAN EXTENSION","TXR10F4N6","NW OF HOLLEMAN DR. & COTTAGE LANE","COLLEGE STATION","TX",,"77840"
"HOPE CROSSING","TXR1583GB","APPROX. 250 FEET SOUTH OF THE INTERSECTION OF W. M","BRYAN","TX",,"77808"
"HOPE CROSSING SUBDIVISION","TXR1550BO","ALMOST TO THE CORNER OF BRUIN TRACE AND WEST MLK S","BRYAN","TX",,"77802"
"HOPE SUBDIVISION","TXR1574CD","BEGIN AT MUMFORD RD AND BRUIN TRACE. PROCEED DOWN","BRYAN","TX",,"77803"
"HUDSON OAKS APARTMENTS","TXR1567GF","3345 UNIVERSITY DR E","BRYAN","TX","9","77802-3470"
"HUDSON OAKS SENIOR LIVING","TXR1541LG","SE OF CROSS PARK DR & SAGEBRIAR DR","BRYAN","TX","9","77802"
"HUDSON OAKS SENIOR LIVING","TXR1567LJ","SE OF CROSS PARK DR & SAGEBRIAR DR","BRYAN","TX","9","77802"
"HUNTINGTON APARTMENTS","TXR15590Y","800 MIDTOWN LOOP","COLLEGE STATION","TX",,"77845"
