"CWPName","SourceID","CWPStreet","CWPCity","CWPState","CWPStateDistrict","CWPZip"
"PROVIDENCE PARK AT RESEARCH VALLEY","TXR15300I","2501 EARL RUDDER FWY S","COLLEGE STATION","TX",,"77845-7384"
"PTX3","TXR1512KD","400 TECHNOLOGY RD","COLLEGE STATION","TX",,"77845"
"RACEWAY 6934","TXG830609","2105 E WILLIAM J BRYAN PKWY","BRYAN","TX","09","77802"
"RACEWAY 6934","TXG830578","2105 E WILLIAM JOEL BRYAN PKWY","BRYAN","TX","09","77802"
"RANGE SCIENCE FIELD LAB","TXR1522KA","WEST SIDE OF FISHTANK ROAD, JUST SOUTH OF WHERE IT","COLLEGE STATION","TX",,"77845"
"RAPID EXPRESS CAR WASH","TXR1576HT","1632 W VILLA MARIA RD","BRYAN","TX",,"77807"
"RAPID EXPRESS CARWASH","TXR1527AY","12055 FM 2154 RD","COLLEGE STATION","TX",,"77845"
"RAVEN HOMES","TXR1537AK","3700 COOPER CT","COLLEGE STATION","TX",,"77845"
"REATTA MEADOWS PARK","TXR15769L","1101 PETERSBURG CT","COLLEGE STATION","TX",,"77845-3995"
"RED LION","TXR10F6MJ","NORTH OF SO. TEXAS AVE. AND MORGANS LANE","COLLEGE STATION","TX",,"77845"
"RED LION","TXR10F6NE","NORTH OF SOUTH TEXAS AVE. AND MORGANS LANE","COLLEGE STATION","TX",,"77845"
"REDDY ICE - BRYAN","TXRNEBO92","701 N TEXAS AVE","BRYAN","TX",,"77803-3364"
"REECE HOMES","TXR1513FZ","4013 CROSS PARK DR","BRYAN","TX",,"77802"
"REFRIGERATION VALVES AND SYSTEMS COR","TXR05CU37","1520 CROSSWIND DR","BRYAN","TX",,"77808-9600"
"RELIANCE RIDGE SUBDIVISION","TXR1586GJ","OLD RELIANCE RD - A003200, ABNER LEE SR, TRACT 24.","BRYAN","TX",,"77808"
"REPUBLIC RESTAURANT","TXR15515V","701 UNIVERSITY DR E","COLLEGE STATION","TX",,"77840-5804"
"RESIDENCES AT OAKMONT","TXR15894D","INTERSECTION OF BOONEVILLE RD AND PENDLETON DRIVE,","BRYAN","TX",,"77802"
"RETAIL CENTER AT CHIMNEY HILL","TXR1557AL","701 UNIVERSITY DR EAST","COLLEGE STATION","TX",,"77840"
"RICKY PALASOTA","TXR05FW79","7116 RAYMOND STOTZER PKWY","COLLEGE STATION","TX",,"77845-9065"
"ROCK POINTE SUBDIVISION PH1","TXR1556NQ","ONCE ON LEONARD RD YOU WILL TAKE A LEFT ON CHICK L","BRYAN","TX",,"77807"
"ROCK PRAIRIE MANAGEMENT DISTRICT NO2 BIRD POND ROAD","TXR15814R","EXTENSION OF BIRD POND ROAD FROM ROCK PRAIRIE ROAD","COLLEGE STATION","TX",,"77845"
"ROCK PRAIRIE MANAGEMENT DISTRICT SANITARY SEWER","TXR15108K","SITE ENTRANCE LOCATED NEAR BIRD POND ROAD ON ROCK","COLLEGE STATION","TX",,"77845"
"ROCK PRAIRIE MARKET PLACE PHASE 2","TXR1589CT","4003 STATE HIGHWAY 6 S","COLLEGE STATION","TX",,"77845"
"ROCK PRAIRIE MARKETPLACE","TXR10F4A1","SE OF FRONTAGE 6 ROAD EAST OF ROCK PRAIRIE RD.","COLLEGE STATION","TX",,"77845"
"ROCK PRAIRIE RD WEST WIDENING","TXR1510HD","ALONG ROCK PRAIRIE RD FROM HOLEMAN DRIVE SOUTH AND","COLLEGE STATION","TX","9","77842"
"ROCK PRAIRIER ROAD WIDENING","TXR1590PE","STARTING ON THE EAST SIDE OF HWY 6 AT ROCK PRAIRIE","COLLEGE STATION","TX","9","77845"
"ROLLING RIDGE WWTP","TX0077526","115 RIDGEWOOD ST","COLLEGE STATION","TX","09","77845"
"RUDDER POINTE","TXR15474T","3520 OLD RELIANCE RD","BRYAN","TX",,"77808"
"RUDDER POINTE PHASE 5","TXR1575MR","TURN ON OLD RELIANCE FROM HIGHWAY 6. TURN LEFT ON","BRYAN","TX",,"77808"
"RUDDER POINTE SUBDIVISION","TXR1563IK","INTERSECTION OF RUDDER POINTE PKWY AND BRADY CT","BRYAN","TX","9","77808"
"RUDDER POINTE SUBDIVISION","TXR1596LB","SUBDIVISION LOCATED AT RUDDER POINTE PARKWAY AND B","BRYAN","TX",,"77808"
"S-CON","TXR05BF57","8326 W HIGHWAY 21 BRYAN TX 77807","BRYAN","TX",,"77807"
"SAGE MEADOWS","TXR1534FN","3700 OLD HEARNE RD","BRYAN","TX",,"77803"
"SCARMADO PIT-YOUNG BROTHERS","TXR05O901","FM 260","BRYAN","TX",,"00000"
"SMILING MALLARD SITE 2","TX0142123","200FT S OF MESA VERDE RD APPROXIMATELY 1800FT","COLLEGE STATION","TX","09","77845"
"SODALIS ASSISTED LIVING","TXR10F6XC","SW OF CRESCENT POINTE PKWY & COPPERFIELD PKWY","COLLEGE STATION","TX",,"77845"
"SODALIS ASSISTED LIVING","TXR10F6WU","SW OF CRESCENT POINTE PKWY AND COPPERFIELD PKWY","COLLEGE STATION","TX",,"77845"
"SODALIS ASSISTED LIVING & MEMORY CARE FACILITY","TXR15791Q","3211 HARVEY RD","COLLEGE STATION","TX",,"77845-9416"
"SOUTH COLLEGE AVE MULTI-USE PATH","TXR1517CS","ALONG HENSEL PARK DRIVEWAY TO UNIVERSITY DRIVE.","COLLEGE STATION","TX",,"77845"
"SOUTH COLLEGE AVENUE RECONSTRUCTION","TXR1597MH","S. COLLEGE AVENUE FROM CARSON STREET TO E. VILLA M","BRYAN","TX",,"77801"
"SOUTHERN TIRE MART","TXR1551CR","1904 N EARL RUDDER FWY","BRYAN","TX",,"77808"
"SOUTHSIDE PLAZA PHASE III","TXR1533CD","4075 HIGHWAY 6 S","COLLEGE STATION","TX",,"77845"
"ST MARYS CATHOLIC CENTER PARKING LOT","TXR1530KX","SEC OF CROSS STREET AND NAGLE STREET","COLLEGE STATION","TX",,"77840"
"ST MARYS CATHOLIC CHURCH","TXR1537FJ","300 NAGLE ST","COLLEGE STATION","TX",,"77840"
"STAR TOWER POINT RETAIL","TXR1574AE","1295 ARRINGTON RD","COLLEGE STATION","TX",,"77845"
"STARBUCKS - UNIVERSITY","TXR1511QM","3059 UNIVERSITY DR E","BRYAN","TX","9","77802-3493"
"STARBUCKS AT CHIMNEY HILL","TXR1556AL","701 UNIVERSITY DR EAST","COLLEGE STATION","TX",,"77840"
"STAY APT SUITES","TXR1589KM","NORTHWEST OF UNIVERSITY DRIVE EAST & PLAZA CENTRE","BRYAN","TX","9","77802"
"STAY APT SUITES","TXR1527KM","NORTHWEST OF UNIVERSITY DRIVE EAST & PLAZA CENTRE","BRYAN","TX","9","77802"
"STEEP HOLLOW TO KEITH SWITCH 138KV","TXR1526GI","LOCATED JUST EAST OF THE INTERSECTION OF STEEP HOL","COLLEGE STATION","TX",,"77845"
"STELLA RANCH SUBDIVISION","TXR1544OX","LOCATED ON FM 1179 ACROSS FROM PLANTERS LOOP AND N","BRYAN","TX","9","77808"
"STONEBRIER PHASE 2","TXR1510HG","CORNER OF RIVERSTONE DRIVE & FM 1179","BRYAN","TX",,"77802"
"STONEBRIER PHS. 2","TXR10FA4C","NE OF FM-1179 & RIVERSTONE DRIVE","BRYAN","TX",,"77808"
"STONEBRIER PHS. 2","TXR10FA5E","NE OF FM-1179 & RIVERSTONE DRIVE","BRYAN","TX",,"77808"
"STONEBRIER SUBDIVISION PHASE 2","TXR1508DU","GO APPROX. 1 MILEON FM 1179 FROM FM 158. PROJECT O","BRYAN","TX",,"77802"
"STUDENT SERVICES BUILDING","TXR15434K","471 HOUSTON STREET","COLLEGE STATION","TX",,"77840"
"TAMU - 21ST CENTURY CLASSROOM BUILDING","TXR15964O","212 LAMAR ST","COLLEGE STATION","TX",,"77845"
"TAMU - BUILD","TXR1566QT","750 AGRONOMY RD","COLLEGE STATION","TX","9","77843-0001"
"TAMU AEROTHERMOCHEMISTRY LAB EXPANSION","TXR15776U","1733 GEORGE BUSH DR W","COLLEGE STATION","TX",,"77845"
"TAMU BEC-COW","TXR1540KS","WEST SIDE OF OLSEN BLVD, .15 MILES SOUTH OF RAYMON","COLLEGE STATION","TX","9","77843"
"TAMU BIOCONTAINMENT RESEARCH FACILITY","TXR15683B","495 AGRONOMY RD","COLLEGE STATION","TX",,"77843-0001"
"TAMU EQUINE NUTRITION AND REPRODUCTION FACILITY","TXR15091P","PROJECT LOCATED ON F&B ROAD NEAR THE CURRENT TAMU","COLLEGE STATION","TX",,"77845"
"TAMU KAMU TECHNICAL OPERATIONS BUILDING","TXR1507NF","510 FLORICULTURE ROAD","COLLEGE STATION","TX",,"77840"
"TAMU MAIN CAMPUS WWTP","TX0108146","9685 WHITES CREEK RD","COLLEGE STATION","TX","09","77843"
"TAMU PA47","TXR1570QA","311 POLO ROAD","COLLEGE STATION","TX","9","77840"
"TAMU PEAP CROSSWALK","TXR1546NK","632 PENBERTHY BLVD","COLLEGE STATION","TX",,"77840"
"TAMU STORM IMPROVEMENTS","TXR15056S","VARIOUS SITES ACROSS THE TEXAS A&M UNIVERSITY CAMP","COLLEGE STATION","TX",,"77845"
"TAMU TRANSPORTATION SPRING BREAK 2024","TXR1545QE","ALONG RESEARCH PKWY & ALONG DISCOVERY DRIVE AT THE","COLLEGE STATION","TX","9","77845"
"TAMU TRANSPORTATION SUMMER 2023 STREET REPAIRS","TXR1582MZ","GEORGE BUSH DRIVE AT THROCKMORTON AND HOUSTON STRE","COLLEGE STATION","TX",,"77840"
"TAMUS - ILSQ BUILDING","TXR1566DG","459 OLSEN BLVD","COLLEGE STATION","TX",,"77845"
"TARROW TOWNHOMES","TXR10F5PH","SW OF AUTUMN CIRCLE AND E. 29TH ST.","COLLEGE STATION","TX",,"77840"
"TARROW TOWNHOMES","TXR10F5P0","SW OF AUTUMN CIRCLE AND E. 29TH ST.","COLLEGE STATION","TX",,"77840"
"TEES BALLISTIC AERO-OPTICS MATERIAL FACILITY","TXR1570GK","3100 N TEXAS AVE # 47","BRYAN","TX","9","77803-1045"
"TEEX BRAYTON CLASSROOM AND ADMIN FACILITY","TXR1569HO","1595 NUCLEAR SCIENCE ROAD","COLLEGE STATION","TX",,"77845"
"TESLA CHARGING STATION","TXR1520KG","1910 TEXAS AVE S","COLLEGE STATION","TX",,"77840-3914"
"TEXAS A & M SOFTBALL AND TRACK AND FIELD STADIUM","TXR10F534","E. OF TOM CHANDLER RD AND PENBERTHY ROAD","COLLEGE STATION","TX",,"77840"
"TEXAS A & M SOFTBALL AND TRACK AND FIELD STADIUM","TXR10F53D","EAST OF TOM CHANDLER ROAD AND PENBERTHY RD.","COLLEGE STATION","TX",,"77840"
"TEXAS A&M AGRILIFE EXTENSION OFFICE","TXR1542CS","4154 COUNTY PARK CT","BRYAN","TX",,"77802"
"TEXAS A&M DISTINGUISHED ALUMNI TRIBUTE","TXR1506IE","505 GEORGE BUSH DR","COLLEGE STATION","TX",,"77840-2918"
"TEXAS A&M MEDICAL RESEARCH & EDUCATION BUILDING II","TXR15101M","8447 STATE HIGHWAY 47","BRYAN","TX",,"77807-3260"
"TEXAS A&M SOUTH CAMPUS REC CENTER","TXR1546EH","BIZZELL STREET AND MOSHER LANE","COLLEGE STATION","TX",,"77840"
"TEXAS A&M TRACK & FIELD COMPLEX","TXR15626O","977 PENBERTHY RD","COLLEGE STATION","TX",,"77840-2375"
"TEXAS A&M UNIVERSITY - WASTEWATER TREATMENT PLANT","TXR05DA91","9685 WHITES CREEK RD","COLLEGE STATION","TX",,"77845"
"TEXAS A&M UNIVERSITY CENTRAL UTILITIES PLANT","TXR05DA89","222 IRELAND ST","COLLEGE STATION","TX",,"77843-0001"
"TEXAS A&M UNIVERSITY CLOSED LANDFILL","TXR15192K","THE PROJECT SITE IS LOCATED ON LUTHER STREET AND F","COLLEGE STATION","TX",,"77840"
"TEXAS A&M UNIVERSITY HAZARDOUS WASTE STORAGE FACILITY","TXRNEAN76","2655 OLD DAIRY SCIENCE CENTER ROAD","COLLEGE STATION","TX",,"77845"
"TEXAS A&M UNIVERSITY MS4","TXR040237","CAMPUS OF TEXAS A&M UNIV.","COLLEGE STATION","TX",,"77543"
"TEXAS A&M UNIVERSITY MS4","TXR040562","CAMPUS OF TEXAS A&M UNIVERSITY LOCATED WITHIN THE","COLLEGE STATION","TX","09","77840"
"TEXAS A&M UNIVERSITY MUSIC ACTIVITIES CENTER","TXR15684F","801 GEORGE BUSH DR","COLLEGE STATION","TX",,"77840"
"TEXAS A&M UNIVERSITY TRANSPORTATION CENTER","TXR05DA90","388 AGRONOMY ROAD","COLLEGE STATION","TX",,"77840"
"TEXAS AM UNIVERSITY EASTERWOOD AIRPORT","TXR05FN85","1 MCKENZIE TERMINAL BLVD STE 112","COLLEGE STATION","TX",,"77845-8578"
"TEXAS DEPT OF TRANSPORTATION","TXR040181","BRYAN AND COLLEGE STATION","BRYAN","TX",,"77803"
"TEXAS TRUCK RIGGINS","TXR10F6MI","NE OF HWY 158 AND MOHAWK ST.","BRYAN","TX",,"77808"
"TEXAS TRUCK RIGGINS","TXR10F6ND","NE OF HWY 158 AND MOHAWK DT.","BRYAN","TX",,"77808"
"THE BARRACKS WEST SUBDIVISION","TXR1560PA","3197 HOLLEMAN DR S","COLLEGE STATION","TX","9","77845-3476"
"THE CREEK PLACE","TXR1587HM","2711 TEXAS AVE S","COLLEGE STATION","TX",,"77840"
"THE CREEK PLACE","TXR1502MN","2711 TEXAS AVE S","COLLEGE STATION","TX",,"77840-5041"
"THE DEASON AT JONES CROSSING","TXR1587PZ","2200 METALMARK WAY","COLLEGE STATION","TX","9","77845"
"THE LANDING","TXR1551QM","800 MARION PUGH DR","COLLEGE STATION","TX","9","77840-2746"
"THE LANGFORD AT COLLEGE STATION PHASE 1","TXR15188B","4185 STATE HIGHWAY 6 S","COLLEGE STATION","TX",,"77845-8965"
"THE MODS","TXR1586PY","2539 E VILLA MARIA RD","BRYAN","TX","9","77802-2038"
"THE RANCH HARLEY-DAVIDSON","TXR1534EL","4101 HIGHWAY 6 S","COLLEGE STATION","TX",,"77845"
"THE RESERVE AT COTTONWOOD CREEK","TXR1552DX","503 W 31ST ST","BRYAN","TX",,"77803"
"THE RESERVE AT COTTONWOOD CREEK","TXR1530DW","503 W 31ST ST","BRYAN","TX",,"77803"
"THE URBAN AT COLLEGE STATION","TXR1577OV","SEC OF N DOWLING ROAD AND HOLLEMAN DRIVE SOUTH","COLLEGE STATION","TX","9","77840"
"THE VILLAGES AT TRADITIONS CONDOS","TXR1556GX","2838 MEMORY LN","BRYAN","TX",,"77807"
"THE YARD","TXR10F61A","NE OF ARRINGTON RD. & GREENS PRAIRIE ROAD","COLLEGE STATION","TX",,"77845"
"THE YARD","TXR10F61R","NE OF ARRINGTON ROAD & GREENS PRAIRIE ROAD","COLLEGE STATION","TX",,"77845"
"THOMAS HEIGHTS","TXR1555GR","APPROX. 20 YARDS SOUTHEAST FROM THE INTERSECTION O","BRYAN","TX",,"77803"
"THORNBERRY DRIVE","TXR1576CR","HOA COMMON AREA SOUTHEAST OF LOCKET HALL DR ROW NO","BRYAN","TX",,"77808"
"THROCKMORTON STREET AND SIDEWALK","TXR1540JR","SOUTH OF THE INTERSECTION OF JOE ROUTT BLVD AND TH","COLLEGE STATION","TX",,"77840"
"TIFFANY PARK SUBDIVISION","TXR1523HZ","3621 DAWN CT","BRYAN","TX",,"77802"
"TIMOTHY & LINDA GAITHER","TXR1517LS","4705 CONCORDIA DR","BRYAN","TX",,"77802"
"TM5 PROPERTIES OFFICE COMPLEX PH 1 - CRESENT POINTE PHASE 2","TXR15654L","1580 COPPERFIELD PKWY","COLLEGE STATION","TX",,"77845-4674"
"TOWER CENTER II OFFICE CONDOMINIUMS","TXR15983H","ALONG GREENS PRAIRIE RD WEST NORTH OF INTERSECTION","COLLEGE STATION","TX",,"77845"
"TOWER POINT OFFICE CONDOS","TXR1584CT","SOUTH OF ARRINGTON ROAD AND HWY 6 INTERSECTION","COLLEGE STATION","TX",,"77845"
"TRADITIONS 19 PHS 5A & 5B","TXR1595MC","NORTHWEST OF TRADITIONS BLVD AND MAROON CT","BRYAN","TX",,"77807"
"TRADITIONS 19 PHS 5A & 5B","TXR1596MC","NORTHWEST OF TRADITIONS BLVD AND MAROON CT","BRYAN","TX",,"77807"
"TRADITIONS PHASE 101 & 102 ATLAS PEAR & 12 OFFSITE SEWER","TXR1574AA","FROM THE INTERSECTION OF F&B ROAD AND TURKEY CREEK","BRYAN","TX",,"77802"
"TRADITIONS PHASE 19 PHASE 2","TXR15258M","NORTHWEST OF THE INTERSECTION OF SOUTH TRADITIONS","BRYAN","TX",,"77807"
"TRADITIONS PHS 20D","TXR1590ME","SOUTH OF WEST VILLA MARIA ROAD & BEGONIA DRIVE","BRYAN","TX",,"77807"
"TRADITIONS PHS 20D","TXR1528MF","SOUTH OF WEST VILLA MARIA ROAD & BEGONIA DRIVE","BRYAN","TX",,"77807"
"TRADITIONS PHS 20E","TXR1589ME","SOUTHEAST OF WEST VILLA MARIA ROAD & BEGONIA DRIVE","BRYAN","TX",,"77807"
"TRADITIONS PHS 20E","TXR1527MF","SOUTHEAST OF WEST VILLA MARIA ROAD & BEGONIA DRIVE","BRYAN","TX",,"77807"
"TRADITIONS PHS 20F","TXR1526MF","SOUTHEAST OF WEST VILLA MARIA ROAD & BEGONIA DRIVE","BRYAN","TX",,"77807"
"TRADITIONS PHS 20F","TXR1588ME","SOUTHEAST OF WEST VILLA MARIA ROAD & BEGONIA DRIVE","BRYAN","TX",,"77807"
"TRADITIONS PHS 35","TXR1588JF","SOUTHWEST OF CLUB DR & SOUTH TRADITIONS DR","BRYAN","TX",,"77807"
"TRADITIONS PHS 35","TXR1568JG","SOUTHWEST OF CLUB DR & SOUTH TRADITIONS DR","BRYAN","TX",,"77807"
"TRADITIONS PHS 38","TXR1513KU","NW OF ATLAS PEAR DRIVE & HEALTH SCIENCE CENTER PKW","BRYAN","TX","9","77807"
"TRADITIONS PHS 38","TXR1563KT","NW OF ATLAS PEAR DR. & HEALTH SCIENCE CENTER PKWY","BRYAN","TX","9","77807"
"TRADITIONS PHS. 35","TXR10F9Z9","SW OF CLUB DR. & SOUTH TRADITIONS DR.","BRYAN","TX",,"77807"
"TRADITIONS PHS. 35","TXR10F9YY","SW OF CLUB DR. & SOUTH TRADITIONS DR.","BRYAN","TX",,"77807"
"TRADITIONS SUBDIVISION","TXR1538DL","INTERSECTION OF W VILLA MARIA RD AND TRADITIONS BL","BRYAN","TX",,"77807"
"TRADITIONS SUBDIVISION","TXR1543DG","INTERSECTION OF W VILLA MARIA RD AND TRADITIONS BL","BRYAN","TX",,"77807"
"TRADITIONS SUBDIVISION","TXR1562QK","3610 PALO VERDE CIR","BRYAN","TX","9","77807"
"TRADITIONS SUBDIVISION","TXR1566DI","INTERSECTION OF W VILLA MARIA RD AND TRADITIONS BL","BRYAN","TX","9","77807"
"TRADITIONS SUBDIVISION","TXR1567HD","2856 PERSIMMON RIDGE CT","BRYAN","TX",,"77807"
"TRADITIONS SUBDIVISION","TXR1518AV","INTERSECTION OF W VILLA MARIA RD AND TRADITIONS BL","BRYAN","TX",,"77807"
"TRADITIONS SUBDIVISION","TXR1579MX","2808 PERSIMMON RIDGE CT","BRYAN","TX",,"77807"
"TRADITIONS SUBDIVISION","TXR1540BD","INTERSECTION OF W VILLA MARIA RD AND TRADITIONS BL","BRYAN","TX",,"77807"
"TRADITIONS SUBDIVISION","TXR1588CK","INTERSECTION OF W VILLA MARIA RD AND TRADITIONS BL","BRYAN","TX",,"77807"
"TRADITIONS SUBDIVISION","TXR1586CS","INTERSECTION OF W VILLA MARIA RD AND TRADITIONS BL","BRYAN","TX",,"77807"
"TRADITIONS SUBDIVISION","TXR1501BQ","INTERSECTION OF W VILLA MARIA RD AND TRADITIONS BL","BRYAN","TX",,"77807"
"TRADITIONS SUBDIVISION","TXR1559AG","INTERSECTION OF W VILLA MARIA RD AND TRADITIONS BL","BRYAN","TX",,"77807"
"TRADITIONS SUBDIVISION","TXR15361O","INTERSECTION OF W VILLA MARIA RD AND TRADITIONS BL","BRYAN","TX",,"77807"
"TRADITIONS SUBDIVISION","TXR15895F","INTERSECTION OF W VILLA MARIA RD AND TRADITIONS BL","BRYAN","TX",,"77807"
"TRADITIONS SUBDIVISION - PHASE 35","TXR1526HL","INTERSECTION OF WILLOW RIDGE DRIVE AND CLUB DRIVE","BRYAN","TX",,"77807"
"TRADITIONS SUBDIVISION PHASE 20D & 20E","TXR1509LE","INTERSECTION OF CENTURY OAK DRIVE & FM 1179 - VILL","BRYAN","TX",,"77807"
"TRADITIONS SUBDIVISION PHASE 20D & 20E & 20F","TXR1598LK","INTERSECTION OF CENTURY OAK DRIVE & FM 1179 - VILL","BRYAN","TX","9","77807"
"TRADITIONS SUBDIVISION PHASE 24 & 25","TXR1586CJ","INTERSECTION OF HSC PARKWAY AND RIVERSIDE PARKWAY","COLLEGE STATION","TX",,"77845"
"TRADITIONS VILLAGES PHS. 4","TXR10F9UN","SW OF TRADITIONS BLVD. & W. VILLA MARIA ROAD","BRYAN","TX",,"77807"
"TRADITIONS VILLAGES PHS. 4","TXR10F9U5","SW OF TRADITIONS BLVD. & W. VILLA MARIA ROAD","BRYAN","TX",,"77807"
"TRAFALGER--37 ACRES","TXR15195L","DIRECTLY ACROSS FM 158 FROM MIRAMONT BLVD-37 ACRES","BRYAN","TX",,"77808"
"TRAVIS B BRYAN MIDTOWN PARK PHASE 3E-DETENTION & DESILTING","TXR1592CF","206 W VILLA MARIA RD","BRYAN","TX",,"77801-3029"
"TRUFIT BRYAN TOWNE CENTER","TXR15935R","3143 WILDFLOWER DR STE 1300","BRYAN","TX",,"77802-3063"
"TURKEY CREEK WWTP","TX0062472","3000FT W FMR 2818, APPROX 4M SE ST HWY 21","BRYAN","TX","09","77807"
"TWIN CITY MISSION NEW WAREHOUSE","TXR1532PW","410 S RANDOLPH AVE","BRYAN","TX","9","77803-3162"
"TXB STORE 72 - BRYAN & NASH","TXR1539OA","2104 EAST WILLIAM JOEL BRYAN PARKWAY","BRYAN","TX","9","77802"
"TXDOT BRY CSJ 0212-03-050","TXR1562KP","FM 158 FROM SH 6 SB FRONTAGE ROAD TO N TEXAS AVE","BRYAN","TX","9","77803"
"TXDOT BRY CSJ 2399-01-074","TXR1541EI","FM 2818 FROM 0.5 MILES N OF FM 60 TO FM 2154","COLLEGE STATION","TX","9","77845"
"TXDOT BRY CSJ 2399-01-074","TXR1504EF","FM 2818 FROM 0.5 MILES N OF FM 60 TO FM 2154","COLLEGE STATION","TX","9","77845"
"TXDOT BRY CSJ 2851-01-050","TXR1566LM","FM 2818 FROM BECK ST TO 0.1 MILES S OF LEONARD RD","BRYAN","TX","9","77803"
"TXDOT BRY CSJ 2851-01-050","TXR1575LW","FM 2818 FROM BECK ST TO 0.1 MILES S OF LEONARD RD","BRYAN","TX","9","77803"
"TXDOT CSJ 0049-12-096","TXR15454M","SH 6 FROM SH 21 TO FM 158","BRYAN","TX",,"77803"
"TXDOT CSJ 0506-01-105","TXR15039B","FM 60/FM 2818 INTERCHANGE","COLLEGE STATION","TX",,"77845"
"TXDOT CSJ 0506-01-105","TXR15798A","FM 60/FM 2818 INTERCHANGE","COLLEGE STATION","TX",,"77845"
"TXDOT CSJ 0917-29-129","TXR15382G","SH 308 FROM FM 1179 TO INLOW STREET","BRYAN","TX",,"77802"
"TXDOT CSJ 0917-29-129","TXR15321G","SH 308 FROM FM 1179 TO INLOW STREET","BRYAN","TX",,"77802"
"TXI BRYAN FOUNTAIN READY MIX","TXG111360","1610 FOUNTAIN AVE","BRYAN","TX","09","77801"
"UNIVERSITY ACRES WWTP","TX0084981","3500' S-SE INTERX OF FM 2818 AND FM 2154","BRYAN","TX","09","77802"
"UNIVERSITY HEIGHTS COMMERICIAL CENTER PH1","TXR15903Z","START AT HOLLEMAN DRIVE SOUTH AND KENYON DR. PROCE","COLLEGE STATION","TX",,"77845"
"UNKNOWN","TX0097951","UNKNOWN",,"TX",,"00000"
"UNKNOWN","TX0090867","UNKNOWN",,"TX",,"00000"
"UPRR BRYAN YARD","TXR05EO05","198 W PEASE ST","BRYAN","TX",,"77803-4514"
"UPS BRYAN","TXR1567CP","1069 N EARL RUDDER FWY","BRYAN","TX",,"77802"
"UPS BRYAN","TXR05O068","2730 OSBORN LN","BRYAN","TX",,"77803-5151"
"USPS","TXR1502NV","2121 EAST WM J BRYAN PARKWAY","BRYAN","TX","9","77801"
"VERABANK AT PROVIDENCE PARK","TXR1546CR","EAST RUDDER FWY. AND PROVIDENCE PKWY.","COLLEGE STATION","TX",,"77845"
"VETERANS PARK ATHLETIC COMPLEX","TXR15768L","3101 HARVEY RD","COLLEGE STATION","TX",,"77845-9414"
"VETERANS PARK PHASE 1B","TXR1580DE","3101 HARVEY RD","COLLEGE STATION","TX",,"77845"
"VILLAGES AT TRADITIONS PHASE 5B","TXR1583MV","ENTER TRADITIONS BLVD ACROSS FROM BRAZOS CHRISTIAN","BRYAN","TX",,"77807"
"VILLAGES AT TRADITIONS PHS. 3","TXR10F6QI","NW OF TRADITIONS BLVD. AND SOUTH TRADITIONS DRIVE","BRYAN","TX",,"77807"
"VILLAGES AT TRADITIONS PHS. 3","TXR10F6QP","NW OF TRADITIONS BLVD. AND S. TRADITIONS DRIVE","BRYAN","TX",,"77807"
"VILLAGES OF INDIAN LAKES PHASE 28","TX0136808","1675 FT SE OF THE INTEREX OF INDIAN LAKES DR AND","COLLEGE STATION","TX","09","77845"
"VINTAGE ESTATES","TXR1518EV","4101 VINTAGE ESTATES CT","BRYAN","TX","9","77808-1510"
"W 28TH STREET","TXR1547BO","AROUND 60 ACRES BORDERING W 28TH STREET, SUNCREST","BRYAN","TX",,"77808"
"WATERFORD HEIGHTS ESTATES SUBDIVISION","TXR1566GI","1402 BIRD POND RD","COLLEGE STATION","TX",,"77845"
"WATERFORD HEIGHTS SUBDIVISION","TXR15548Z","THE PROJECT IS LOCATED AT THE CORNER OF ROCK PRAIR","COLLEGE STATION","TX","9","77845"
"WATERFORD HEIGHTS SUBDIVISION","TXR15908Y","THE PROJECT IS LOCATED AT THE CORNER OF ROCK PRAIR","COLLEGE STATION","TX",,"77845"
"WATERFORD HEIGHTS SUBDIVISION","TXR15713X","THE PROJECT IS LOCATED AT THE CORNER OF ROCK PRAIR","COLLEGE STATION","TX",,"77845"
"WATERFORD HEIGHTS SUBDIVISION","TXR15293Y","THE PROJECT IS LOCATED AT THE CORNER OF ROCK PRAIR","COLLEGE STATION","TX",,"77845"
"WATERFORD HEIGHTS SUBDIVISION","TXR15269Q","THE PROJECT IS LOCATED AT THE CORNER OF ROCK PRAIR","COLLEGE STATION","TX",,"77845"
"WATERFORD HEIGHTS SUBDIVISION","TXR15510Y","THE PROJECT IS LOCATED AT THE CORNER OF ROCK PRAIR","COLLEGE STATION","TX","9","77845"
"WATHEN RESIDENCE","TXR1586FW","3032 HICKORY RIDGE CIR","BRYAN","TX",,"77807"
"WEATHERFORD ESTATES PHS. 3","TXR10FA6K","NE OF BIRD POND ROAD & ROCK PRAIRIE ROAD","COLLEGE STATION","TX",,"77845"
"WEATHERFORD ESTATES PHS. 3","TXR10FA6J","NE OF BIRD POND ROAD & ROCK PRAIRIE ROAD","COLLEGE STATION","TX",,"77845"
"WELLBORN SETTLEMENT","TXR1551BK","TURN RIGHT FROM GREENSPRAIRIE TO ROYDER RD AND GO","COLLEGE STATION","TX",,"77845"
"WELLBORN SIDING NAVASOTA SUBDIVISION MP 63.5 TO MP 65.71","TXR15963U","WEST OF FM 2154, WELLBORN RD N, TX BETWEEN GREEN P","COLLEGE STATION","TX",,"77845"
